notebook,status,seconds,stderr_tail
01-foundations-to-advanced-scientific-modeling.ipynb,PASS,17.6,ader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12329 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\01-foundations-to-advanced-scientific-modeling.ipynb
02-data-audit-and-leakage.ipynb,PASS,11.5, not implement add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12287 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\02-data-audit-and-leakage.ipynb
03-resampling-and-scientific-design.ipynb,PASS,11.5,ment add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12307 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\03-resampling-and-scientific-design.ipynb
04-bootstrap-and-stability.ipynb,PASS,11.5,not implement add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12289 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\04-bootstrap-and-stability.ipynb
05-feature-engineering-and-selection.ipynb,PASS,11.1,ent add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12309 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\05-feature-engineering-and-selection.ipynb
06-supervised-machine-learning.ipynb,PASS,11.2,implement add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12297 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\06-supervised-machine-learning.ipynb
07-probabilistic-machine-learning.ipynb,PASS,11.1,lement add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12303 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\07-probabilistic-machine-learning.ipynb
08-tuning-and-scientific-benchmarking.ipynb,PASS,11.0,nt add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12311 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\08-tuning-and-scientific-benchmarking.ipynb
09-imbalance-calibration-and-thresholds.ipynb,PASS,11.2, add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12315 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\09-imbalance-calibration-and-thresholds.ipynb
10-explainable-ai-and-stability.ipynb,PASS,11.3,mplement add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12299 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\10-explainable-ai-and-stability.ipynb
