component,package,role,declared_requirement,platform_scope,certification_tier,source_status,runtime_status,release_claim,notes
R runtime,R,core runtime,>= 4.2.0,Windows/Linux/macOS,core,declared,pending-final-local-validation,not-yet-certified,Final oldrel/release/devel matrix must be executed locally.
Core contracts,S7,class system,>= 0.2.2,Windows/Linux/macOS,core,implemented,pending-final-local-validation,not-yet-certified,Stable package-native contracts.
Core serialization,jsonlite/yaml/digest,portable metadata and hashing,DESCRIPTION Imports,Windows/Linux/macOS,core,implemented,pending-final-local-validation,not-yet-certified,Portable metadata path; opaque R serialization separately guarded.
stats,base R,lm/glm differential reference,Suggests or base R,backend-supported platforms,core-reference,source-implemented,pending-final-local-validation,not-yet-certified,Must remain quarantined until corresponding final validation rows pass.
tidymodels,parsnip/workflows,supervised modeling,Suggests or base R,backend-supported platforms,optional,source-implemented,pending-final-local-validation,not-yet-certified,Must remain quarantined until corresponding final validation rows pass.
mlr3,mlr3,supervised modeling,Suggests or base R,backend-supported platforms,optional,source-implemented,pending-final-local-validation,not-yet-certified,Must remain quarantined until corresponding final validation rows pass.
xgboost,xgboost,tree boosting,Suggests or base R,backend-supported platforms,optional,source-implemented,pending-final-local-validation,not-yet-certified,Must remain quarantined until corresponding final validation rows pass.
torch,torch,Deep Learning,Suggests or base R,backend-supported platforms,optional,source-implemented,pending-final-local-validation,not-yet-certified,Must remain quarantined until corresponding final validation rows pass.
luz,luz,DL trainer,Suggests or base R,backend-supported platforms,optional,adapter-surface,pending-final-local-validation,not-yet-certified,Must remain quarantined until corresponding final validation rows pass.
keras3,keras3,DL alternate backend,Suggests or base R,backend-supported platforms,optional,adapter-surface,pending-final-local-validation,not-yet-certified,Must remain quarantined until corresponding final validation rows pass.
brms,brms/cmdstanr,Bayesian multilevel/distributional,Suggests or base R,backend-supported platforms,optional,source-implemented,pending-final-local-validation,not-yet-certified,Must remain quarantined until corresponding final validation rows pass.
dbarts,dbarts,BART,Suggests or base R,backend-supported platforms,optional,source-implemented,pending-final-local-validation,not-yet-certified,Must remain quarantined until corresponding final validation rows pass.
DiceKriging,DiceKriging,Gaussian process,Suggests or base R,backend-supported platforms,optional,source-implemented,pending-final-local-validation,not-yet-certified,Must remain quarantined until corresponding final validation rows pass.
probably,probably,calibration/conformal,Suggests or base R,backend-supported platforms,optional,source-implemented,pending-final-local-validation,not-yet-certified,Must remain quarantined until corresponding final validation rows pass.
mlflow,mlflow,tracking,Suggests or base R,backend-supported platforms,optional,source-implemented,pending-final-local-validation,not-yet-certified,Must remain quarantined until corresponding final validation rows pass.
pins,pins,artifact registry,Suggests or base R,backend-supported platforms,optional,source-implemented,pending-final-local-validation,not-yet-certified,Must remain quarantined until corresponding final validation rows pass.
vetiver,vetiver,deployment,Suggests or base R,backend-supported platforms,optional,source-implemented,pending-final-local-validation,not-yet-certified,Must remain quarantined until corresponding final validation rows pass.
